Symbol,Name,AtomicNumber,AddH,Colour,CovalentRadius,VdWRadius,Valency,Mass,Valences,Isotopes,Group,Row,PTRow,PTColumn,PTElementType,C# Property - Copy into PeriodicTable.cs
Sc,Scandium,21,FALSE,#E6E6E6,1.7,0,0,44.95591,3,,3,4,3,2,transition_metal,public Element Sc { get; private set; } // Scandium - Atomic Number 21
Ti,Titanium,22,FALSE,#BFC2C7,1.6,0,1,47.88,2|3|4,,4,4,3,3,transition_metal,public Element Ti { get; private set; } // Titanium - Atomic Number 22
V,Vanadium,23,FALSE,#A6A6AB,1.53,0,1,50.9415,2|3|4|5,,5,4,3,4,transition_metal,public Element V { get; private set; } // Vanadium - Atomic Number 23
Cr,Chromium,24,FALSE,#8A99C7,1.39,0,2,51.9961,2|3|6,,6,4,3,5,transition_metal,public Element Cr { get; private set; } // Chromium - Atomic Number 24
Mn,Manganese,25,FALSE,#9C7AC7,1.39,0,3,54.93805,1|2|3|4|6|7,,7,4,3,6,transition_metal,public Element Mn { get; private set; } // Manganese - Atomic Number 25
Fe,Iron,26,FALSE,#E06633,1.32,0,2,55.847,2|3|4|6,,8,4,3,7,transition_metal,public Element Fe { get; private set; } // Iron - Atomic Number 26
Co,Cobalt,27,FALSE,#F090A0,1.26,0,1,58.9332,2|3,,9,4,3,8,transition_metal,public Element Co { get; private set; } // Cobalt - Atomic Number 27
Ni,Nickel,28,FALSE,#50D050,1.24,1.63,1,58.6934,0|1|2|3,,10,4,3,9,transition_metal,public Element Ni { get; private set; } // Nickel - Atomic Number 28
Cu,Copper,29,FALSE,#C88033,1.32,1.4,0,63.546,1|2,,11,4,3,10,transition_metal,public Element Cu { get; private set; } // Copper - Atomic Number 29
Zn,Zinc,30,FALSE,#7D80B0,1.22,1.39,0,65.39,2,,12,4,3,11,transition_metal,public Element Zn { get; private set; } // Zinc - Atomic Number 30
Ga,Gallium,31,FALSE,#C28F8F,1.22,1.87,0,69.723,2|3,,13,4,3,12,other_metal,public Element Ga { get; private set; } // Gallium - Atomic Number 31
